GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,StateSpace(Size),PatternLineUsage(P0_Row3_Usage),PatternLineUsage(P1_Row3_Usage),PatternLineUsage(P0_Row1_Usage),PatternLineUsage(P1_Row1_Usage),PatternLineUsage(P1_Row4_Usage),PatternLineUsage(P0_Row4_Usage),PatternLineUsage(P0_Row2_Usage),PatternLineUsage(P1_Row0_Usage),PatternLineUsage(P1_Row2_Usage),PatternLineUsage(P0_Row0_Usage),FactoryVsCentrePicks(FactoryPicks_P1),FactoryVsCentrePicks(FactoryPicks_P0),FactoryVsCentrePicks(CenterPicks_P0),FactoryVsCentrePicks(CenterPicks_P1),FirstColourPicked(FirstColour_P1),FirstColourPicked(FirstColour_P0),TilesPickedPerPlayer(NumTilesPicked_P1),TilesPickedPerPlayer(NumTilesPicked_P0),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1)
-820989376,Azul,0,ACTION_CHOSEN,0,0,2,2,8,,,,,,,,,,,,1,,,,Black,,0,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,1,0,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,2,1,2,2,8,,,,,,,,,,,1,1,,,Orange,,1,0,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,3,1,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,4,2,2,2,8,,,,,,,,,,,1,1,2,,,,1,1,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,5,2,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,6,3,2,2,8,,,,,,,,,,,2,1,2,,,,3,1,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,7,3,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,8,4,2,2,8,,,,,,,,,,,2,1,2,,,,3,2,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,9,4,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,10,5,2,2,8,,,,,,,,,,,3,1,2,,,,8,2,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,11,5,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,12,6,2,2,8,,,,,,,,,,,3,2,2,,,,8,4,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,13,6,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,14,7,2,2,8,,,,,,,,,,,3,2,2,4,,,9,4,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,15,7,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,16,8,2,2,8,,,,,,,,,,,3,2,3,4,,,9,8,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,17,8,2,2,8,,,,,,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,0,ACTION_CHOSEN,18,9,2,2,8,,,,,,,,,,,3,2,3,4,,,11,8,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,19,0,2,2,8,,,,,,,,,,,3,3,3,4,,White,,1,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,20,0,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,21,1,2,2,8,,,,,,,,,,,4,3,3,4,Black,,1,1,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,22,1,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,23,2,2,2,8,,,,,,,,,,,4,4,3,4,,,1,3,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,24,2,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,25,3,2,2,8,,,,,,,,,,,5,4,3,4,,,2,3,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,26,3,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,27,4,2,2,8,,,,,,,,,,,5,5,3,4,,,2,4,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,28,4,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,29,5,2,2,8,,,,,,,,,,,5,5,3,6,,,3,4,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,30,5,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,31,6,2,2,8,,,,,,,,,,,5,5,6,6,,,3,8,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,32,6,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,33,7,2,2,8,,,,,,,,,,,5,5,6,6,,,7,8,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,34,7,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,35,8,2,2,8,,,,,,,,,,,5,5,6,6,,,7,12,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,36,8,2,2,8,,,,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,1,ACTION_CHOSEN,37,9,2,2,8,,,,,,,,,,,5,5,6,6,,,8,12,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,38,0,2,2,8,,,,,,,,,,,5,6,6,6,,White,,1,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,39,0,2,2,8,,,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,40,1,2,2,8,,,,,,,,,,,6,6,6,6,Red,,2,1,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,41,1,2,2,8,,,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,42,2,2,2,8,,,,,,,,,,,6,7,6,6,,,2,3,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,43,2,2,2,8,,,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,44,3,2,2,8,,,,,,,,,,,7,7,6,6,,,4,3,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,45,3,2,2,8,,,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,46,4,2,2,8,,,,,,,,,,,7,7,8,6,,,4,4,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,47,4,2,2,8,,,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,48,5,2,2,8,,,,,,,,,,,7,7,8,8,,,5,4,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,49,5,2,2,8,,,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,50,6,2,2,8,,,,,,,,,,,7,7,8,8,,,5,5,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,51,6,2,2,8,,,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,2,ACTION_CHOSEN,52,7,2,2,8,,,,,,,,,,,8,7,8,8,,,8,5,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
