GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PatternLineUsage(P0_Row3_Usage),PatternLineUsage(P1_Row3_Usage),PatternLineUsage(P0_Row1_Usage),PatternLineUsage(P1_Row1_Usage),PatternLineUsage(P1_Row4_Usage),PatternLineUsage(P0_Row4_Usage),PatternLineUsage(P0_Row2_Usage),PatternLineUsage(P1_Row0_Usage),PatternLineUsage(P1_Row2_Usage),PatternLineUsage(P0_Row0_Usage),Decisions(ActionsPerTurn (Sum)),Decisions(DecisionPoints (Mean)),Decisions(Decisions),PatternLineCompletionRate(PatternCompletionRate_P0_Row4),PatternLineCompletionRate(PatternCompletionRate_P0_Row2),PatternLineCompletionRate(PatternCompletionRate_P0_Row3),PatternLineCompletionRate(PatternCompletionRate_P0_Row0),PatternLineCompletionRate(PatternCompletionRate_P0_Row1),PatternLineCompletionRate(PatternCompletionRate_P1_Row2),PatternLineCompletionRate(PatternCompletionRate_P1_Row1),PatternLineCompletionRate(PatternCompletionRate_P1_Row0),PatternLineCompletionRate(PatternCompletionRate_P1_Row4),PatternLineCompletionRate(PatternCompletionRate_P1_Row3),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1),Winner(PlayerIdx)
-820989376,Azul,6,GAME_OVER,118,0,2,2,RandomPlayer,29.0,2.0,MCTSPlayer,1,RandomPlayer,1,2,2,MCTSPlayer,MCTSPlayer,RandomPlayer,4,7,6,4,6,8,6,6,3,5,118,0.9491525423728814,112,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.6538461538461539,0.2692307692307692,0.3333333333333333,0.2,0.5,0.0,0.06666666666666667,27.0,RandomPlayer,29.0,15.5,2.0,MCTSPlayer,1
855005387,Azul,6,GAME_OVER,120,0,2,3,MCTSPlayer,0.0,19.0,RandomPlayer,2,MCTSPlayer,2,1,1,RandomPlayer,RandomPlayer,MCTSPlayer,3,5,7,5,3,4,9,4,11,6,120,0.95,114,0.037037037037037035,0.24074074074074073,0.09259259259259259,0.6481481481481481,0.3148148148148148,0.23728813559322035,0.23728813559322035,0.3898305084745763,0.01694915254237288,0.03389830508474576,19.0,MCTSPlayer,0.0,9.5,19.0,RandomPlayer,0
-260765991,Azul,5,GAME_OVER,93,0,2,4,RandomPlayer,34.0,4.0,MCTSPlayer,1,RandomPlayer,1,2,2,MCTSPlayer,MCTSPlayer,RandomPlayer,5,6,5,5,2,2,5,4,4,5,93,0.946236559139785,88,0.02666666666666667,0.25333333333333335,0.10666666666666667,0.6533333333333333,0.29333333333333333,0.2073170731707317,0.2682926829268293,0.47560975609756095,0.024390243902439025,0.036585365853658534,30.0,RandomPlayer,34.0,19.0,4.0,MCTSPlayer,1
506942768,Azul,5,GAME_OVER,99,0,2,5,MCTSPlayer,2.0,22.0,RandomPlayer,2,MCTSPlayer,2,1,1,RandomPlayer,RandomPlayer,MCTSPlayer,6,2,5,5,5,3,3,4,5,7,99,0.9494949494949495,94,0.030927835051546393,0.23711340206185566,0.08247422680412371,0.6391752577319587,0.29896907216494845,0.16822429906542055,0.24299065420560748,0.514018691588785,0.018691588785046728,0.056074766355140186,20.0,MCTSPlayer,2.0,12.0,22.0,RandomPlayer,0
466190749,Azul,5,GAME_OVER,99,0,2,6,MCTSPlayer,0.0,14.0,RandomPlayer,2,MCTSPlayer,2,1,1,RandomPlayer,RandomPlayer,MCTSPlayer,5,5,7,7,1,3,3,6,4,5,99,0.9494949494949495,94,0.025,0.23333333333333334,0.075,0.6666666666666666,0.30833333333333335,0.16030534351145037,0.2366412213740458,0.48854961832061067,0.015267175572519083,0.08396946564885496,14.0,MCTSPlayer,0.0,7.0,14.0,RandomPlayer,0
-2122736188,Azul,5,GAME_OVER,91,0,2,7,RandomPlayer,24.0,10.0,MCTSPlayer,1,RandomPlayer,1,2,2,MCTSPlayer,MCTSPlayer,RandomPlayer,3,2,3,4,4,5,7,6,4,4,91,0.945054945054945,86,0.02142857142857143,0.20714285714285716,0.06428571428571428,0.6642857142857143,0.3142857142857143,0.18181818181818182,0.22727272727272727,0.5,0.025974025974025976,0.07792207792207792,14.0,RandomPlayer,24.0,17.0,10.0,MCTSPlayer,1
-986050787,Azul,5,GAME_OVER,105,0,2,8,MCTSPlayer,0.0,27.0,RandomPlayer,2,MCTSPlayer,2,1,1,RandomPlayer,RandomPlayer,MCTSPlayer,6,6,7,3,5,3,3,6,4,7,105,0.9523809523809523,100,0.042682926829268296,0.23780487804878048,0.06707317073170732,0.6707317073170732,0.3048780487804878,0.16111111111111112,0.2611111111111111,0.46111111111111114,0.022222222222222223,0.06666666666666667,27.0,MCTSPlayer,0.0,13.5,27.0,RandomPlayer,0
1809151617,Azul,5,GAME_OVER,101,0,2,9,RandomPlayer,18.0,10.0,MCTSPlayer,1,RandomPlayer,1,2,2,MCTSPlayer,MCTSPlayer,RandomPlayer,1,3,8,8,4,6,5,5,2,6,101,0.9504950495049505,96,0.03763440860215054,0.20967741935483872,0.0967741935483871,0.6559139784946236,0.3064516129032258,0.17475728155339806,0.2669902912621359,0.470873786407767,0.024271844660194174,0.05825242718446602,8.0,RandomPlayer,18.0,14.0,10.0,MCTSPlayer,1
1906199564,Azul,5,GAME_OVER,95,0,2,10,RandomPlayer,9.0,5.0,MCTSPlayer,1,RandomPlayer,1,2,2,MCTSPlayer,MCTSPlayer,RandomPlayer,5,4,4,7,5,5,6,5,0,4,95,0.9473684210526315,90,0.033816425120772944,0.18840579710144928,0.08695652173913043,0.6859903381642513,0.3140096618357488,0.1782608695652174,0.2565217391304348,0.46956521739130436,0.030434782608695653,0.06956521739130435,4.0,RandomPlayer,9.0,7.0,5.0,MCTSPlayer,1
-782388062,Azul,5,GAME_OVER,103,0,2,11,MCTSPlayer,12.0,26.0,RandomPlayer,2,MCTSPlayer,2,1,1,RandomPlayer,RandomPlayer,MCTSPlayer,7,2,7,6,3,1,6,5,8,4,103,0.9514563106796117,98,0.030303030303030304,0.2077922077922078,0.08225108225108226,0.7056277056277056,0.3203463203463203,0.17647058823529413,0.25882352941176473,0.47843137254901963,0.027450980392156862,0.07058823529411765,14.0,MCTSPlayer,12.0,19.0,26.0,RandomPlayer,0
