GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PenaltiesPerRound(P0_R1),PenaltiesPerRound(P1_R3),PenaltiesPerRound(P0_R2),PenaltiesPerRound(P1_R2),PenaltiesPerRound(P1_R1),PenaltiesPerRound(P0_R0),PenaltiesPerRound(P1_R0),PenaltiesPerRound(P0_R9),PenaltiesPerRound(P0_R7),PenaltiesPerRound(P1_R9),PenaltiesPerRound(P0_R8),PenaltiesPerRound(P1_R8),PenaltiesPerRound(P0_R5),PenaltiesPerRound(P1_R7),PenaltiesPerRound(P0_R6),PenaltiesPerRound(P1_R6),PenaltiesPerRound(P0_R3),PenaltiesPerRound(P1_R5),PenaltiesPerRound(P0_R4),PenaltiesPerRound(P1_R4),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(PlayerName-1)
-820989376,Azul,0,ROUND_OVER,18,9,2,2,,,,,,4,0,,,,,,,,,,,,,,0.0,RandomPlayer,0.0,0.0,0.0,MCTSPlayer
-820989376,Azul,1,ROUND_OVER,37,9,2,2,2,,,,4,,,,,,,,,,,,,,,,3.0,RandomPlayer,3.0,1.5,0.0,MCTSPlayer
-820989376,Azul,2,ROUND_OVER,58,10,2,2,,,11,0,,,,,,,,,,,,,,,,,5.0,RandomPlayer,6.0,3.5,1.0,MCTSPlayer
-820989376,Azul,3,ROUND_OVER,79,10,2,2,,2,,,,,,,,,,,,,,,4,,,,12.0,RandomPlayer,12.0,6.0,0.0,MCTSPlayer
-820989376,Azul,4,ROUND_OVER,98,9,2,2,,,,,,,,,,,,,,,,,,,6,6,14.0,RandomPlayer,18.0,11.0,4.0,MCTSPlayer
-820989376,Azul,5,ROUND_OVER,117,9,2,2,,,,,,,,,,,,,11,,,,,8,,,12.0,RandomPlayer,16.0,10.0,4.0,MCTSPlayer
855005387,Azul,0,ROUND_OVER,20,10,2,3,,,,,,0,1,,,,,,,,,,,,,,0.0,MCTSPlayer,0.0,0.0,0.0,RandomPlayer
855005387,Azul,1,ROUND_OVER,37,8,2,3,2,,,,8,,,,,,,,,,,,,,,,3.0,MCTSPlayer,0.0,1.5,3.0,RandomPlayer
855005387,Azul,2,ROUND_OVER,62,12,2,3,,,1,2,,,,,,,,,,,,,,,,,4.0,MCTSPlayer,0.0,2.0,4.0,RandomPlayer
855005387,Azul,3,ROUND_OVER,79,8,2,3,,14,,,,,,,,,,,,,,,0,,,,9.0,MCTSPlayer,4.0,8.5,13.0,RandomPlayer
